media,title,description,url,date,year
detik,Prabowo Lantik Anggito Abimanyu Jadi Bos LPS Gantikan Purbaya,Anggito Abimanyu dilantik sebagai Ketua Dewan Komisioner LPS oleh Presiden Prabowo.,https://finance.detik.com/berita-ekonomi-bisnis/d-8151031/prabowo-lantik-anggito-abimanyu-jadi-bos-lps-gantikan-purbaya,"Rabu, 08 Okt 2025 15:15 WIB",2025
detik,Gubernur Sulsel Perjuangkan Program Pemerataan Pembangunan ke Menkeu Purbaya,"Gubernur Sulsel Andi Sudirman Sulaiman bertemu Menkeu Purbaya Yudhi Sadewa, membahas penyaluran dana pusat dan pentingnya pemerataan pembangunan di daerah.",https://www.detik.com/sulsel/sulsel-ewako/d-8151021/gubernur-sulsel-perjuangkan-program-pemerataan-pembangunan-ke-menkeu-purbaya,"Rabu, 08 Okt 2025 15:30 WIB",2025
detik,Video Purbaya: Saya Pegang Langsung Pajak-Bea Cukai daripada Pusing,Kursi Wakil Menteri Keuangan kini kosong setelah Anggito Abimanyu dilantik sebagai Ketua Dewan Komisioner Lembaga Penjamin Simpanan (LPS).,https://20.detik.com/detikupdate/20251008-251008165/video-purbaya-saya-pegang-langsung-pajak-bea-cukai-daripada-pusing,"Rabu, 08 Okt 2025 20:39 WIB",2025
detik,"Gantikan Purbaya, Anggito Abimanyu Resmi Jabat Ketua Dewan Komisioner LPS",Presiden Prabowo Subianto melantik Anggito Abimanyu sebagai Ketua Dewan Komisioner LPS 2025-2030. Anggito menggantikan Purbaya Yudhi Sadewa.,https://news.detik.com/berita/d-8151029/gantikan-purbaya-anggito-abimanyu-resmi-jabat-ketua-dewan-komisioner-lps,"Rabu, 08 Okt 2025 15:14 WIB",2025
detik,Purbaya Semprot Bos Bursa gegara Minta Insentif: Rapikan Dulu Saham Gorengan!,Menteri Keuangan Purbaya Yudhi Sadewa menolak permintaan insentif dari BEI hingga perilaku investor di pasar modal diperbaiki.,https://finance.detik.com/bursa-dan-valas/d-8152268/purbaya-semprot-bos-bursa-gegara-minta-insentif-rapikan-dulu-saham-gorengan,"Kamis, 09 Okt 2025 10:37 WIB",2025
detik,"Dasco Ungkap Isi Pertemuan dengan Purbaya, Prasetyo, hingga Tito di DPR","Wakil Ketua DPR Sufmi Dasco Ahmad menjelaskan isi pertemuan dengan Menkeu Purbaya, Mendagri Tito, hingga Mensesneg Prasetyo di DPR kemarin.",https://news.detik.com/berita/d-8152417/dasco-ungkap-isi-pertemuan-dengan-purbaya-prasetyo-hingga-tito-di-dpr,"Kamis, 09 Okt 2025 11:56 WIB",2025
detik,"Efisiensi Anggaran ala Menkeu Purbaya: Nggak Mampu, Coret!","Menteri Keuangan, Purbaya Yudhi Sadewa menegaskan akan melanjutkan efisiensi APBN tahun depan. Namun prosesnya berbeda dengan Menkeu sebelumnya.",https://www.detik.com/jogja/berita/d-8150477/efisiensi-anggaran-ala-menkeu-purbaya-nggak-mampu-coret,"Rabu, 08 Okt 2025 10:44 WIB",2025
detik,Kata Menkeu Purbaya soal 26 Pegawai Direktorat Jenderal Pajak Dipecat,Apa penyebab sejumlah pegawai Direktorat Jenderal Pajak (DJP) Kementerian Keuangan dipecat? Begini menurut Menteri Keuangan Purbaya Yudhi Sadewa.,https://www.detik.com/kalimantan/berita/d-8150327/kata-menkeu-purbaya-soal-26-pegawai-direktorat-jenderal-pajak-dipecat,"Rabu, 08 Okt 2025 09:31 WIB",2025
detik,"26 PNS Pajak Dipecat, Purbaya: Nggak Bisa Diampuni Lagi!",Menteri Keuangan Purbaya Yudhi Sadewa mengungkap pemecatan pegawai DJP karena pelanggaran integritas.,https://finance.detik.com/berita-ekonomi-bisnis/d-8150260/26-pns-pajak-dipecat-purbaya-nggak-bisa-diampuni-lagi,"Rabu, 08 Okt 2025 08:08 WIB",2025
detik,"Anggito Tak Lagi Wamen, Purbaya: Pajak & Bea Cukai di Bawah Saya Langsung!","Sepeninggal Anggito Abimanyu yang kini menjabat Ketua LPS, Menkeu Purbaya akan langsung memegang Pajak dan Bea Cukai.",https://finance.detik.com/berita-ekonomi-bisnis/d-8151895/anggito-tak-lagi-wamen-purbaya-pajak-bea-cukai-di-bawah-saya-langsung,"Kamis, 09 Okt 2025 05:45 WIB",2025
